City,Company,Region,Position,Employment_type,Industry,Standing,Preferred_mj1,Preferred_mj2,Preferred_lang1,Preferred_lang2,Minimum_exp_years,Estimate_minimum_average_salary,
San Francisco,Wish,North CA,Data Analyst,Full time,Computer Software,BA/BS,Computer Science,Math,SQL,PHP,4,67000,
San Jose,FICO,North CA,Artificial intelligence Engineer,Full time,Computer Software,MS,Computer Science,Statistics,Python,Java,1,107869,
Santa Monica,Aptiv,South CA,Machine Learning Computer Engineer,Full time,Computer Software,PH.D.,Computer Engineering,Math,Python,C/C++,2,NA,
Malibu,Aptiv,South CA,Software Engineer,Full time,Electrical Manfacturing,NA,Computer Engineering,Computer Science,C/C++,R,2,87000,
Monica,Aptiv,South CA,Software Engineer,Full time,Computer Software,BS/MS,Computer Science,Computer Engineering,JavaScript,HTML,3,87000,
Los Angeles,Fox Networks Group,South CA,Data Analyst,Internship,Broadcast Media,BS,Computer Science,Applied Mathematics,SQL,R,1,NA,
Santa Clara,Chegg,North CA,Staff Data Scientist,Full time,Information Technology&Services,MS,Sciences,Engineering,SQL,R,5,146464,
Los Angeles,Cyber Coders,South CA,Data Scientist,Internship,Internet,BS,Computer Science,Applied quantitative fields,Python,Scala,1,137548,
Cupertino,Apple,North CA,Data Enginneer,Full time,Consumer Electronic,BS,Computer Science,Engineering,Java,SQL,1,127276,
Cupertino,Apple,North CA,Data Scientist,Full time,Consumer Electronic,MS,Economics or Quantitative Marketing,Engineering,SQL,R,1,141188,
Cupertino,Apple,North CA,Data Analyst,Full time,Consumer Electronic,MS/PH.D,Computer Science,Statistics,SQL,R,1,86573,
Cupertino,Apple,North CA,Apple Operation Sr. Data Analyst,Full time,Consumer Electronic,MS/PH.D,Computer Science,Machine Learning,SQL,Python,1,111588,
San Francisco,Yahoo,North CA,Data Enginneer,Full time,Computer Software,BS/MS,Computer Science,Math,Python,SQL,2,109771,
Cupertino,Apple,North CA,Data Scientist,Full time,Consumer Electronic,MS/PH.D,Computer Science,Statistics,Java,C/C++,4,141188,
San Jose,Qorvo Inc,North CA,IT Data Science,Internship,Consumer Electronics,BS,Computer Science,Data Science,Python,Tableau,1,NA,
Sunnyvale,AgilOne,North CA,Data Analyst Intern,Internship,Marketing and Advertising,BS,Computer Science,Engineering,SQL,TSql,1,NA,
Sunnyvale,Wipro Limited,South CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Applied math,Statistics,C/C++,Python,10,NA,
West Hollywood,Uptown Treehouse,South CA,Market Data Science Intern,Internship,Marketing and Advertsing,BS,Machine Learning,Math,Java,HTML,1,NA,
Santa Barbara,CJ Affiliate,South CA,CJ’s Account Analyst,Full time,Computer Software,BS,Statistics,Economics,SQL,Python,2,47840,
San Francisco,Coda,North CA,Data Scientist,Full time,Computer Software,NA,Statistics,Computer Science,R,SQL,1,80000,
San Francisco,Firefly,North CA,Data Scientist,Full time,Information Technology and Services,NA,Machine Learning,Computer Science,Python,Java,1,73105,
La Jolla,Altium,South CA,Marketing Data Analyst,Full time,Computer Software,BS,Marketing,Management,SQL,Related Tools for Analysis,2,62829,
Menlo Park,Facebook,North CA,Research Scientist,Full time,Internet,MS/PH.D,Statistics,Related quantitative field,R,C/C++,1,141351,
San Francisco,Frequence,North CA,Data Scientist,Full time,Online Media,MS/PH.D,Math,Statistics,Python,R,1,77028,
San Francisco,Ditto,North CA,Software Engineer,Full time,Computer Software,MS,Computer Science,Computer Engineering,Python,C/C++,5,125652,
San Francisco,Rally Health Company,North CA,"Data Scientist, Marketing",Full time,"Health, Wellness and Fitness",BS/MS,Data Scientist,Marketing,SQL,Python,2,141000,
Del Mar,AuptiX,South CA,Strategic Data Analyst,Full time,Information Technology and Services,BS,Statistics,Math,SQL,Python,1,NA,
San Francisco,Pocket Gems,North CA,Data Scientist,Full time,Computer Games,MS/PH.D,Math,Physics,SQL,Python,5,119000,
Santa Monica,Harnham,South CA,Data Scientist,Full time,Apparel & Fashion,BS,Computer Science,Related quantitative field,SQL,Python,1,NA,
Santa Monica,Goop,South CA,Data Scientist,Full time,Online Media,BS/MS,Computer Science,Machine Learning,SQL,Python,3,134762,
San Francisco,C3 IoT,North CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Computer Science,Electrical Engineering,JavaScript,Python,1,157335,
Cupertino,Intelletec,North CA,Product Data Analyst,Full time,Marketing and Advertising,NA,Marketing,Statistics,SQL,Python,5,103246,
Santa Clara County,Netflix,North CA,Senior Data Engineer,Full time,Internet,NA,Software Engineering,Machine Learning,Scala,SQL,1,195394,
Santa Clara County,Netflix,North CA,Senior Data Scientist,Full time,Internet,NA,Computer Science,Engineering,SQL,R,1,182126,
San Jose,Cohesity,North CA,Data Scientist,Full time,Computer Software,MS/PH.D,Computer science,Related quantitative field,SQL,R,5,NA,
Los Angeles,Riot Games,South CA,Technical Data Analyst,Full time,Computer Software,NA,Engineering,Management,SQL,Python,1,72729,
Mountain View,Synopsys,North CA,Senior Data Analyst,Internship,Computer Software,BS,Computer Science,NA,Java,C/C++,1,149000,
Los Angeles,Fox Network Group,South CA,Data Analyst,Internship,Information Technology and Services,MS/PH.D,Computer Science,Machine Learning,SQL,R,1,NA,
San Monica,VelvetJobs,South CA,Data Analyst,Full time,Entertainment,MS,Computer Science,Engineering,SQL,Tableau,1,65470,
Carmel Valley,Itron. Inc.,South CA,Data Analyst,Part time,Information Technology and Services,BS,Math,Engineering,SQL,Related Programming Language,2,84000,
Carmel Valley,Itron. Inc.,South CA,Data Scientist,Full time,Information Technology and Services,BS,Computer Science,Engineering,SQL,Related Programming Language,2,136667,
San Francisco,Paradigm,North CA,Data Scientist,Full time,Financial Service,MS,Statistics,Psychology,R,Related Tools for Analysis,1,94185,
San Mateo,Roblox,North CA,Data Scientist,Full time,Computer Software,NA,Statistics,Economics,R,SQL,1,104000,
San Mateo,Roblox,North CA,Big data engineer,Full time,Computer Software,NA,Computer Science,Statistics,SQL,C/C++,1,100000,
San Francisco,Pocket Gems,North CA,Data Scientist,Full time,Computer Software,MS/PH.D,Math,Economics,SQL,R,5,119000,
San Francisco,Molekule,North CA,Growth Data Analyst,Full time,Computer Hardware,BS/MS,Math,Statistics,R,SQL,1,NA,
